Rank;DokumentType;Titel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
A;Ændringslov;Lov om ændring af lov om forskellige forbrugsafgifter, momsloven og forskellige andre love og om ophævelse af lov om ændring af lov om forskellige forbrugsafgifter og opkrævningsloven (Indførelse af afgift på nikotinprodukter, sammenlægning af afgiftssatserne for røgfri tobak, justering af betingelser for fjernsalgsregistrering for visse punktafgifter, ændring af momsloven som reaktion på covid-19-pandemien m.v.);Skatteministeriet;Skatteforvaltningen;Skattemin., j.nr. 2020-9326;2616;2021;AN015347;A20210261630;Lovtidende A;;Fremgår af forskriften;20211228;20211229;20211229;20211229;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/2616
A;Ændringslov;Lov om ændring af ligningsloven og selskabsskatteloven   (Beskatningstidspunktet for visse beløb modtaget i henhold til en covid-19-hjælpepakke og for visse erstatninger og kompensationer modtaget som følge af lov om aflivning af og midlertidigt forbud mod hold af mink og særregel om beskatning af andelsforeninger med minkavlere m.v. som medlemmer);Skatteministeriet;Skatteforvaltningen;Skattemin., j.nr. 2021-2191;2611;2021;AN015342;A20210261130;Lovtidende A;;Fremgår af forskriften;20211228;20211229;20211229;20211229;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/2611
A;Ændringslov;Lov om ændring af lov om social pension, lov om højeste, mellemste, forhøjet almindelig og almindelig førtidspension m.v. og lov om arbejdsløshedsforsikring m.v. (Forlængelse af midlertidig ordning om ret til at få fratrukket merindtægt som følge af arbejde relateret til covid-19 ved indtægtsregulering af folke-, senior- og førtidspension m.v. og fritagelse for fradrag i efterløn for merindtægt fra arbejde relateret til covid-19);Beskæftigelsesministeriet;Styrelsen for Arbejdsmarked og Rekruttering;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 21/15403;2587;2021;BE009198;A20210258730;Lovtidende A;;Fremgår af forskriften;20211228;20211229;20211229;20211229;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/2587
A;Ændringslov;Lov om ændring af lov om adgang til iværksættelse af midlertidig arbejdsfordeling som led i håndteringen af covid-19 og lov om arbejdsløshedsforsikring m.v. (Forlængelse af den midlertidige arbejdsfordelingsordning m.v.);Beskæftigelsesministeriet;Styrelsen for Arbejdsmarked og Rekruttering;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 21/15464;2529;2021;BE009197;A20210252930;Lovtidende A;;Fremgår af forskriften;20211221;20211221;20211221;20211221;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/2529
A;Ændringslov;Lov om ændring af lov om finansiel virksomhed (Straf for overtrædelse af STS-forordningens artikel 26 b-26 e og ophævelse af positionslofter for råvarederivater);Erhvervsministeriet;;Erhvervsmin., \nFinanstilsynet, j.nr. 21-003801;2383;2021;CQ001994;A20210238330;Lovtidende A;;Fremgår af forskriften;20211214;20211215;20220401;20211215;;FALSE;;;;;;LBK nr 2497 af 15/12/2021;;;https://www.retsinformation.dk/eli/lta/2021/2383
A;Ændringslov;Lov om ændring af lov om sygedagpenge og barselsloven (Udvidet ret for arbejdsgiver til refusion og for selvstændige til sygedagpenge som følge af covid-19 samt ny midlertidig periode med ret til dagpenge ved pasning af børn som følge af covid-19);Beskæftigelsesministeriet;Styrelsen for Arbejdsmarked og Rekruttering;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 21/14882;2380;2021;BE009166;A20210238030;Lovtidende A;;Fremgår af forskriften;20211214;20211215;20211215;20211215;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/2380
A;Lov;Lov om arbejdsgiveres adgang til at pålægge lønmodtagere forevisning af coronapas, test for covid-19 m.v.;Beskæftigelsesministeriet;;Beskæftigelsesmin., j.nr. 2021-10331;2098;2021;BE009122;A20210209830;Lovtidende A;;Fremgår af forskriften;20211125;20211126;20211126;20211126;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/2098
A;Lov;Lov om Slots- og Kulturstyrelsens kontrol og tilsyn med covid-19-kompensationsordninger m.v. på Kulturministeriets område;Kulturministeriet;Kulturministeriet;Kulturmin., j.nr. 2021-88;2054;2021;AK001903;A20210205430;Lovtidende A;;Fremgår af forskriften;20211116;20211117;20211117;20211117;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/2054
A;Ændringslov;Lov om ændring af lov om folkeskolen (Frihedsgrader til håndtering af faglige udfordringer som følge af covid-19 hos elever i folkeskolen i skoleåret 2021/22);Børne- og Undervisningsministeriet;;Børne- og Undervisningsmin., j.nr. 21/12227;2047;2021;DA000672;A20210204730;Lovtidende A;;Fremgår af forskriften;20211114;20211115;20211115;20211115;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/2047
A;Ændringslov;Lov om ændring af lov om rentefrie lån svarende til angivet moms og lønsumsafgift og fremrykket udbetaling af skattekreditter m.v. i forbindelse med covid-19 og lov om midlertidig udskydelse af angivelses- og betalingsfrister m.v. på skatteområdet i forbindelse med covid-19 (Udskydelse af tilbagebetalingsfrister for låneordninger for moms, midlertidig forlængelse af maksimal varighed for betalingsordninger for skattekontoen og nedsættelse af beløbsgrænse for kreditsaldo på skattekontoen som følge af covid-19);Skatteministeriet;Skatteforvaltningen;Skattemin., j.nr. 2021-5855;1956;2021;AN015184;A20210195630;Lovtidende A;;Fremgår af forskriften;20211019;20211020;20211020;20211020;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2021/1956
